# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.867679,3.2520,-6.9950,9.4130,12.17
1.888158,4.3260,-6.5690,9.9400,12.68
1.888469,4.9560,-6.3450,10.1280,12.94
1.908700,4.9040,-6.0240,10.1780,12.80
1.908779,4.8210,-5.4130,10.1920,12.51
1.928373,4.9600,-4.3280,10.2470,12.18
1.928469,5.0140,-3.5850,10.6490,12.30
1.949878,4.9650,-3.2630,11.0230,12.52
1.949960,4.8910,-3.2750,11.5130,12.93
1.970315,5.0030,-3.4360,12.1310,13.56
1.970561,4.8600,-3.2900,12.2120,13.55
1.997098,3.9820,-2.7840,11.2120,12.22
2.014397,-0.9360,0.6070,10.0120,10.07
2.031919,-5.2480,1.1000,8.6990,10.22
2.032100,-5.5640,1.1850,4.4850,7.24
2.051975,-5.0780,0.2180,3.7060,6.29
2.052254,-4.7420,0.0420,3.8330,6.10
2.079773,-4.4890,-0.4060,2.9470,5.39
2.093963,-6.9120,0.7710,-0.2910,6.96
2.111784,-8.3650,0.7820,-3.0920,8.95
2.111968,-8.5440,0.9430,-3.8890,9.43
2.131918,-8.5920,1.0150,-4.2850,9.65
2.132080,-8.6120,0.6090,-4.6580,9.81
2.151422,-8.1020,0.1940,-4.7470,9.39
2.151548,-7.3300,0.1670,-4.2530,8.48
2.179522,-6.9880,0.2400,-3.3320,7.75
2.179737,-7.3910,0.0180,-2.4740,7.79
2.196292,-8.3510,-0.4640,-1.6190,8.52
2.196510,-8.8930,-1.1890,-0.2530,8.98
2.214837,-9.3770,-1.6380,1.6950,9.67
2.215016,-9.1850,-3.0590,4.0490,10.49
2.236008,-8.8070,-5.3860,6.5300,12.22
2.236248,-8.4710,-5.7800,10.3720,14.59
2.262586,-6.1350,-5.6180,13.5670,15.91
2.276819,-1.1320,-3.2980,12.0210,12.52
2.296301,7.6070,-2.5960,-3.3240,8.70
2.296489,10.9490,-1.6710,-9.0070,14.28
2.316615,13.2490,-2.4760,-12.3940,18.31
2.316827,12.5760,-3.3460,-13.3250,18.63
2.336677,9.6140,-0.5070,-11.4410,14.95
2.336858,7.1320,1.6240,-11.8130,13.89
2.362947,5.4990,2.5040,-12.0960,13.52
2.378605,11.6390,2.1360,-17.4450,21.08
2.397914,36.3870,6.4240,-13.5970,39.37
2.398097,40.6800,10.2250,-13.8620,44.18
2.419387,33.2220,14.3280,-14.7280,39.06
2.419548,23.5190,20.6720,-10.9250,33.16
2.444477,11.2450,24.4040,-5.7300,27.47
2.462653,-10.3600,16.2040,-7.3500,20.59
2.480201,-16.1240,8.5370,-5.1390,18.95
2.480358,-13.7610,4.5650,-1.4520,14.57
2.500698,-10.9230,0.6830,2.0920,11.14
2.500901,-9.3570,-1.9670,4.8110,10.70
2.528378,-9.1820,-3.8360,5.8870,11.56
2.544378,-9.8340,-5.8730,5.9380,12.90
2.562504,-8.7300,-6.3250,4.9860,11.88
2.562705,-8.3000,-6.5790,4.2740,11.42
2.581774,-7.5550,-6.8110,4.0970,10.97
2.583170,-6.3490,-7.0710,4.4780,10.51
2.602164,-5.1590,-7.1220,5.1340,10.18
2.602369,-4.3460,-7.0780,5.9120,10.19
2.628698,-3.9050,-7.0340,6.6140,10.41
2.644782,-3.9740,-5.8230,7.3520,10.19
2.661729,-3.1820,-4.1940,7.4210,9.10
2.661936,-2.8830,-3.4680,7.5010,8.75
2.682545,-2.8500,-2.8180,7.9640,8.92
2.682776,-3.7840,-1.5100,9.4880,10.33
2.704249,-2.9980,-2.0330,9.6530,10.31
2.704444,-2.1280,-2.9420,10.5970,11.20
2.729301,-1.7520,-2.5640,11.8910,12.29
2.745467,-0.4110,-1.3660,12.1690,12.25
2.764772,1.7880,-2.4930,10.1710,10.62
2.764982,3.0090,-3.6950,7.8110,9.15
2.790549,4.5370,-5.5880,4.2120,8.34
2.811476,6.2870,-8.6540,-4.2260,11.50
2.811658,6.8130,-10.1240,-8.0550,14.62
