# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:45:04.970
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.415945,-0.2380,0.1480,0.6350,0.69
1.416150,-0.2730,0.0800,0.6130,0.68
1.436301,-0.2240,0.0090,0.6090,0.65
1.436507,-0.1710,-0.0190,0.7120,0.73
1.462335,-0.1430,0.0370,0.8260,0.84
1.480396,0.0480,0.3080,0.9080,0.96
1.496603,-0.1680,0.3110,0.4870,0.60
1.496791,-0.2840,0.1000,0.1900,0.36
1.515821,-0.2230,-0.0540,-0.0140,0.23
1.515999,-0.2000,-0.1710,-0.2540,0.37
1.537614,-0.1880,-0.3800,-0.3410,0.54
1.537928,-0.2960,-0.6140,-0.3630,0.77
1.557651,-0.3610,-0.7670,-0.2360,0.88
1.557751,-0.4500,-0.8450,-0.0150,0.96
1.577959,-0.5530,-0.8870,0.1830,1.06
1.578137,-0.6760,-0.9200,0.3800,1.20
1.597657,-0.8200,-0.8410,0.4880,1.27
1.597757,-0.8880,-0.6810,0.4820,1.22
1.618600,-0.9790,-0.5650,0.2880,1.17
1.618680,-0.8920,-0.3910,-0.0730,0.98
1.643985,-0.6520,-0.1540,-0.4930,0.83
1.659984,-0.0720,0.2130,-0.9990,1.02
1.680680,0.3160,0.3750,-0.9840,1.10
1.680884,0.3640,0.3940,-0.8100,0.97
1.700763,0.3450,0.3310,-0.6560,0.81
1.700951,0.1820,0.1070,-0.4880,0.53
1.727746,-0.0390,-0.1200,-0.3440,0.37
1.748355,-0.1360,-0.4000,-0.2090,0.47
1.748585,-0.0210,-0.3910,-0.2440,0.46
1.761889,0.1550,-0.2660,-0.3420,0.46
1.783020,0.5480,0.2070,-0.4660,0.75
1.783246,0.5950,0.4820,-0.4950,0.91
1.803077,0.5180,0.6460,-0.4570,0.95
1.803249,0.3400,0.7080,-0.3870,0.88
1.829432,0.1570,0.6950,-0.2330,0.75
1.845395,0.0910,0.5050,0.0860,0.52
1.864440,0.3790,0.3270,0.4210,0.65
1.864617,0.5050,0.2170,0.5400,0.77
1.885436,0.5240,0.1760,0.6100,0.82
1.885634,0.4630,0.1160,0.5930,0.76
1.912252,0.3530,0.0830,0.5360,0.65
1.929727,0.3510,0.0670,0.4770,0.60
1.946279,0.4030,0.2500,0.4460,0.65
1.946470,0.3380,0.3050,0.4010,0.61
1.965526,0.2030,0.3970,0.3150,0.55
1.965706,0.0650,0.4140,0.2820,0.51
1.993698,0.0150,0.3540,0.3620,0.51
2.010558,-0.0760,0.1240,0.5930,0.61
2.026865,0.0330,-0.1470,0.8320,0.85
2.027036,0.1130,-0.2650,0.8130,0.86
2.047734,0.3010,-0.2840,0.8060,0.91
2.047930,0.5820,-0.1580,0.7690,0.98
2.068351,0.6570,-0.0390,0.6170,0.90
2.068545,0.4620,-0.1000,0.3400,0.58
2.094965,0.1990,-0.2160,0.0230,0.29
2.110588,-0.0430,-0.3160,-0.3110,0.45
2.128924,-0.3700,-0.6430,-0.2910,0.80
2.129110,-0.4780,-0.7410,-0.2570,0.92
2.149713,-0.5280,-0.7420,-0.3000,0.96
2.149993,-0.4410,-0.6410,-0.4180,0.88
2.178085,-0.2340,-0.4610,-0.6020,0.79
2.194272,0.0540,-0.1660,-1.0490,1.06
2.211590,0.0780,-0.1490,-1.3030,1.31
2.211809,0.1060,-0.1190,-1.2070,1.22
2.231163,0.1630,-0.0090,-0.9430,0.96
2.231353,0.0750,-0.0220,-0.6510,0.66
2.251647,-0.2170,-0.1420,-0.4440,0.51
2.251851,-0.5330,-0.1750,-0.2880,0.63
2.278158,-0.6120,-0.1050,-0.1770,0.65
2.295572,-0.5500,0.0680,-0.2450,0.61
2.312606,-0.2400,0.0600,-0.4480,0.51
2.312778,-0.1090,0.1110,-0.5050,0.53
2.333826,-0.0430,0.1710,-0.5210,0.55
2.334094,-0.0420,0.2710,-0.4400,0.52
2.361554,0.0040,0.4200,-0.2620,0.50
2.379487,0.1820,0.5920,0.0130,0.62
2.394565,0.2020,0.5330,0.1240,0.58
2.394741,0.3240,0.4320,0.1290,0.56
2.415235,0.3590,0.2900,0.1490,0.48
2.415440,0.4880,0.0960,0.1370,0.52
2.435786,0.6430,-0.2100,0.1460,0.69
2.435984,0.8090,-0.4240,0.1970,0.93
2.456632,0.8810,-0.5230,0.2670,1.06
2.456729,0.7810,-0.5240,0.3510,1.00
2.477093,0.5140,-0.5030,0.4380,0.84
2.477297,0.0470,-0.4410,0.5630,0.72
2.495401,-0.4940,-0.2320,0.6840,0.88
2.495565,-0.9370,0.1160,0.7630,1.21
2.516064,-1.0870,0.2880,0.7890,1.37
2.516281,-1.0680,0.3630,0.7650,1.36
2.544951,-0.8950,0.3760,0.8150,1.27
2.561946,-0.3920,0.2290,0.9030,1.01
2.577423,0.2220,0.2180,0.7940,0.85
2.577544,0.2760,0.1680,0.5720,0.66
2.598208,0.3410,0.0870,0.4610,0.58
2.598289,0.3010,-0.0100,0.3740,0.48
2.617903,0.4820,0.0140,0.4950,0.69
2.617993,0.5870,0.0510,0.7060,0.92
2.642673,0.5440,0.0720,0.9440,1.09
2.642797,0.1120,-0.0340,1.0560,1.06
2.660344,-0.5980,-0.3680,1.0340,1.25
2.660502,-1.0540,-0.6200,0.9860,1.57
2.679642,-1.2570,-0.7660,0.8960,1.72
2.679810,-1.2930,-0.9090,0.7670,1.76
2.700016,-1.1530,-0.9360,0.5020,1.57
2.700238,-0.9090,-0.9190,0.1430,1.30
2.727366,-0.6580,-0.8430,-0.1820,1.08
2.741883,-0.2990,-0.4900,-0.8040,0.99
2.761231,0.0030,-0.1150,-1.3640,1.37
2.761395,0.0420,-0.0460,-1.5220,1.52
2.782070,0.0370,-0.0380,-1.6200,1.62
2.782307,-0.0590,-0.0610,-1.6310,1.63
2.810325,-0.1470,-0.0340,-1.5790,1.59
2.827923,-0.2390,0.1520,-1.4950,1.52
2.842922,-0.0220,0.3600,-1.2790,1.33
2.843110,0.1620,0.4280,-1.0520,1.15
2.863872,0.2610,0.4260,-0.8320,0.97
2.864086,0.2760,0.2990,-0.6710,0.78
2.884740,0.2880,0.2010,-0.5210,0.63
2.884917,0.4010,0.1680,-0.2940,0.52
2.908560,0.6020,0.2150,-0.0900,0.65
2.908723,0.7690,0.3560,0.1400,0.86
2.925845,0.9000,0.4640,0.2670,1.05
2.926051,0.9290,0.5900,0.3650,1.16
2.946302,0.8500,0.6960,0.4010,1.17
2.946509,0.7010,0.7120,0.4320,1.09
2.965994,0.5170,0.6940,0.4560,0.98
2.966176,0.4440,0.6280,0.4680,0.90
2.992983,0.3990,0.5310,0.5050,0.83
3.009585,0.3380,0.3340,0.5830,0.75
3.025814,0.1620,0.2510,0.6800,0.74
3.025987,0.0910,0.2300,0.6590,0.70
3.045627,0.0160,0.1360,0.5940,0.61
3.045862,-0.0230,0.1620,0.4920,0.52
3.067241,-0.1180,0.1180,0.3730,0.41
3.067451,-0.1790,0.1150,0.2730,0.35
3.092750,-0.2460,0.1040,0.2410,0.36
3.092923,-0.2410,0.1140,0.2120,0.34
3.109530,-0.2710,0.1290,0.1910,0.36
3.109682,-0.3300,0.1220,0.2140,0.41
3.128235,-0.3040,0.1610,0.2210,0.41
3.128404,-0.2560,0.2190,0.2450,0.42
3.150486,-0.0480,0.3030,0.3320,0.45
3.150752,0.1560,0.4030,0.3920,0.58
3.175950,0.2340,0.4410,0.3900,0.63
3.192619,0.2680,0.1400,0.2480,0.39
3.209854,0.0770,-0.2120,0.1850,0.29
3.210060,-0.1120,-0.5470,0.2030,0.59
3.230556,-0.3980,-1.0330,0.3040,1.15
3.230759,-0.4620,-1.4280,0.4460,1.57
3.250601,-0.2870,-1.6020,0.4570,1.69
3.250993,0.1100,-1.6510,0.3570,1.69
3.276613,0.4060,-1.5290,0.0520,1.58
3.293996,0.6220,-1.0810,-0.7120,1.44
3.312001,0.4850,-0.4350,-1.0210,1.21
3.312150,0.4670,-0.2500,-1.0350,1.16
3.332548,0.5240,-0.0720,-0.9790,1.11
3.332731,0.5000,-0.0020,-0.9140,1.04
3.359041,0.3830,-0.0190,-0.7480,0.84
3.376090,-0.1890,-0.0300,-0.4220,0.46
3.393930,-0.7470,0.0810,-0.3330,0.82
3.394132,-0.8540,0.1680,-0.2430,0.90
3.414618,-0.8000,0.3220,-0.1930,0.88
3.414898,-0.7510,0.4200,-0.1020,0.87
3.440359,-0.6490,0.5160,-0.0760,0.83
3.459628,-0.5330,0.6290,0.0200,0.82
3.475615,-0.2930,0.7060,0.1910,0.79
3.475782,-0.1080,0.6790,0.1640,0.71
3.495810,0.0810,0.6070,0.1200,0.62
3.495967,0.3310,0.5160,0.0500,0.62
3.524618,0.4850,0.4640,-0.0150,0.67
3.541287,0.4850,0.3520,0.0310,0.60
3.556784,0.2420,0.3260,0.0930,0.42
3.556921,0.1210,0.3130,0.1280,0.36
3.581598,0.0220,0.3340,0.1500,0.37
3.581696,-0.0010,0.3060,0.1910,0.36
3.602714,0.0200,0.3170,0.2750,0.42
3.602799,0.0730,0.3260,0.3200,0.46
3.620745,0.0810,0.3320,0.4010,0.53
3.620829,0.0550,0.3400,0.5010,0.61
3.639005,0.0480,0.3180,0.5980,0.68
3.639137,0.0560,0.3080,0.7000,0.77
3.658254,0.0140,0.2330,0.8170,0.85
3.658401,-0.0360,0.1400,0.8810,0.89
3.679196,0.0470,0.0550,0.9440,0.95
3.679371,0.0760,-0.0420,0.9070,0.91
3.699409,0.0720,-0.1420,0.7410,0.76
3.699559,-0.0320,-0.3380,0.4490,0.56
3.724733,-0.1800,-0.5480,0.1540,0.60
3.741246,-0.2180,-0.7220,-0.0900,0.76
3.760491,0.1900,-0.4200,0.1590,0.49
3.760670,0.4200,-0.1100,0.1630,0.46
3.781612,0.4160,0.1120,0.0790,0.44
3.781922,0.2280,0.2120,-0.1910,0.37
3.807913,-0.1790,0.2250,-0.4420,0.53
3.824720,-0.8790,-0.0450,-0.5640,1.05
3.841934,-0.8400,-0.6690,-0.3170,1.12
3.842114,-0.5340,-0.8800,-0.0780,1.03
3.862740,-0.1530,-0.9130,0.0480,0.93
3.862923,0.0700,-0.7880,0.0400,0.79
3.883353,0.1520,-0.7220,-0.0340,0.74
3.883574,0.0830,-0.5990,-0.2010,0.64
3.908106,-0.0610,-0.4520,-0.3390,0.57
3.924931,-0.3480,-0.0610,-0.5550,0.66
3.944616,-0.4380,0.1540,-0.8320,0.95
3.944809,-0.4060,0.1230,-0.9870,1.07
3.964738,-0.2420,0.1190,-1.1020,1.13
3.964963,-0.0440,0.1550,-1.2200,1.23
3.990023,0.0900,0.2790,-1.2920,1.32
4.009862,0.2460,0.5280,-1.1060,1.25
4.010063,0.2790,0.6060,-0.9190,1.14
4.025537,0.1870,0.6710,-0.5930,0.91
4.046034,0.0990,0.5340,-0.0290,0.54
4.046285,0.1390,0.4640,0.1540,0.51
4.073327,0.2580,0.3690,0.2840,0.53
4.090731,0.5160,0.2660,0.2450,0.63
4.106492,0.6210,0.2040,0.0590,0.66
4.106671,0.5460,0.2530,0.0060,0.60
4.127844,0.3410,0.2410,-0.0260,0.42
4.128018,0.1920,0.2190,0.0260,0.29
4.148241,0.2290,0.2520,0.2200,0.41
4.148401,0.3130,0.2820,0.4670,0.63
4.172916,0.3130,0.1680,0.6190,0.71
4.173076,0.2580,0.0310,0.7800,0.82
4.189400,0.1890,-0.0530,0.9420,0.96
4.189510,0.1630,-0.1070,1.0850,1.10
4.209213,0.0400,-0.0610,1.1070,1.11
4.209392,-0.0930,0.0350,1.1080,1.11
4.230435,-0.2370,0.0870,1.0300,1.06
4.230698,-0.4180,0.1830,0.8770,0.99
4.257863,-0.5410,0.2360,0.6870,0.91
4.273890,-0.4790,0.4220,0.3550,0.73
4.290407,-0.4030,0.4830,0.1880,0.66
4.290582,-0.2320,0.4380,0.1540,0.52
4.311418,-0.0460,0.3160,0.1370,0.35
4.311691,0.3340,0.2370,0.1320,0.43
4.331460,0.6560,0.1720,0.0830,0.68
4.331667,0.7990,0.1170,0.0220,0.81
4.357383,0.9340,0.0340,-0.0270,0.94
4.357566,0.9420,-0.0490,-0.0260,0.94
4.374835,0.8530,-0.1150,-0.0590,0.86
4.374966,0.6880,-0.2450,-0.1160,0.74
4.393005,0.3840,-0.4930,-0.1290,0.64
4.393178,0.0200,-0.8560,-0.0510,0.86
4.413634,-0.1900,-1.2500,0.1170,1.27
4.414196,-0.1100,-1.5030,0.2620,1.53
4.440727,0.1350,-1.4750,0.3420,1.52
4.457651,0.6230,-1.1120,0.0810,1.28
4.474593,0.5620,-0.7840,-0.2660,1.00
4.474769,0.5380,-0.5430,-0.2640,0.81
4.494330,0.4910,-0.3000,-0.1350,0.59
4.494423,0.3470,-0.1650,0.0640,0.39
4.515141,0.0650,-0.1900,0.2160,0.29
4.515254,-0.2820,-0.2340,0.2360,0.44
4.546059,-0.5550,-0.3190,0.1900,0.67
4.557750,-0.8940,-0.3210,-0.1770,0.97
4.575799,-0.9870,-0.1840,-0.7010,1.22
4.576307,-0.7920,0.0070,-0.9680,1.25
4.594975,-0.4840,0.2100,-1.1480,1.26
4.619245,-0.0650,0.5050,-1.3230,1.42
4.637338,0.2130,0.7280,-1.3330,1.53
4.657516,0.3260,0.8600,-1.1480,1.47
4.657635,0.5000,0.8840,-0.9490,1.39
4.677993,0.6200,0.9060,-0.5750,1.24
4.678165,0.6890,0.8780,-0.1570,1.13
4.704974,0.6090,0.7600,0.2790,1.01
4.721336,0.1130,0.2040,0.8950,0.92
4.739150,-0.1120,-0.2860,1.1710,1.21
4.739311,-0.2400,-0.4220,1.1320,1.23
4.759894,-0.3210,-0.5160,1.0410,1.21
4.760071,-0.2370,-0.5370,0.9420,1.11
4.780059,-0.1020,-0.4850,0.8720,1.00
4.780170,-0.0050,-0.3690,0.7840,0.87
4.803078,0.0240,-0.2530,0.6810,0.73
4.803259,-0.0350,-0.1540,0.5690,0.59
4.822828,-0.1300,0.0020,0.4750,0.49
4.823047,-0.2200,0.1970,0.3490,0.46
4.841576,-0.3310,0.3740,0.2620,0.56
4.841944,-0.3070,0.4920,0.1610,0.60
4.862477,-0.2250,0.6080,0.0740,0.65
4.862681,-0.2330,0.7660,0.0070,0.80
4.888311,-0.2860,0.7300,-0.1370,0.80
4.907166,-0.4000,0.6860,-0.1730,0.81
4.923196,-0.4780,0.5280,0.0770,0.72
4.923331,-0.1430,0.4070,0.1880,0.47
4.945578,0.0550,0.2390,0.1790,0.30
4.945836,0.1230,0.0060,0.1100,0.17
4.972257,0.0690,-0.2190,0.0000,0.23
4.988692,-0.3810,-0.6720,-0.1400,0.79
5.004731,-0.4140,-0.8700,0.1200,0.97
5.004923,-0.2500,-0.8180,0.2890,0.90
5.026028,0.0500,-0.6470,0.4270,0.78
5.026195,0.1640,-0.4240,0.4270,0.62
5.046160,0.0990,-0.2490,0.2560,0.37
5.046398,-0.0500,-0.1360,-0.0340,0.15
5.071779,-0.0900,-0.0680,-0.2740,0.30
5.071957,-0.0760,0.0540,-0.4660,0.48
5.089153,-0.1580,0.0980,-0.5150,0.55
5.089272,-0.2260,0.0650,-0.5300,0.58
5.105598,-0.3220,-0.0660,-0.4910,0.59
5.105846,-0.4050,-0.2170,-0.4750,0.66
5.125829,-0.3820,-0.3630,-0.4430,0.69
5.126078,-0.2800,-0.4090,-0.4010,0.64
5.146009,-0.1630,-0.4230,-0.4680,0.65
5.146169,-0.0610,-0.4230,-0.6310,0.76
5.169566,0.0440,-0.3190,-0.8800,0.94
5.169753,0.1650,-0.1760,-1.1060,1.13
5.188357,0.2850,0.0050,-1.2700,1.30
5.188486,0.3930,0.1880,-1.3220,1.39
5.208562,0.4660,0.3530,-1.2970,1.42
5.208761,0.4990,0.4780,-1.1580,1.35
5.229434,0.4720,0.6120,-0.9190,1.20
5.229627,0.3720,0.7120,-0.5450,0.97
5.252227,0.1480,0.6860,-0.1990,0.73
5.271615,-0.2380,0.5310,0.3380,0.67
5.290223,-0.5020,0.4840,0.6600,0.96
5.290404,-0.4170,0.4810,0.7690,1.00
5.311189,-0.3700,0.4790,0.8300,1.03
5.311533,-0.2710,0.4630,0.8940,1.04
5.336812,-0.2340,0.3740,0.8720,0.98
5.355471,-0.2480,0.2070,0.8030,0.87
5.371874,-0.0560,0.1270,0.7540,0.77
5.372055,0.1630,0.1050,0.7640,0.79
5.392162,0.3950,0.0590,0.6800,0.79
5.392319,0.6280,-0.0570,0.5460,0.83
5.419530,0.7210,-0.1620,0.3540,0.82
5.436594,0.7600,-0.1320,0.1340,0.78
5.453609,0.7220,0.0770,0.1920,0.75
5.453843,0.6500,0.1880,0.2660,0.73
5.474275,0.5050,0.1580,0.3840,0.65
5.474438,0.3880,0.0780,0.6170,0.73
5.494637,0.4040,0.0220,0.8500,0.94
5.494841,0.4380,0.1330,0.9710,1.07
5.520951,0.3660,0.0680,1.0060,1.07
5.540835,-0.1430,-0.1440,0.8280,0.85
5.540975,-0.3090,-0.2200,0.6340,0.74
5.555865,-0.4490,-0.3060,0.4300,0.69
5.582746,-0.6100,-0.5650,0.1280,0.84
5.598972,-0.6540,-0.9400,-0.0290,1.15
5.617411,-0.0750,-0.7920,-0.4800,0.93
5.617644,0.0620,-0.6110,-0.8280,1.03
5.635974,-0.0820,-0.5230,-1.1090,1.23
5.636321,-0.1320,-0.3990,-1.3040,1.37
5.655450,-0.0560,-0.2140,-1.4210,1.44
5.655756,0.0080,-0.0390,-1.3820,1.38
5.677042,-0.0370,0.0730,-1.2680,1.27
5.677204,-0.1440,0.0390,-1.1240,1.13
5.698151,-0.3830,-0.0270,-1.0230,1.09
5.698233,-0.5150,-0.0940,-0.9660,1.10
5.718515,-0.5310,-0.0710,-0.9800,1.12
5.718897,-0.4250,-0.0630,-1.0210,1.11
5.738526,-0.3170,-0.0250,-1.0700,1.12
5.738619,-0.2280,-0.0300,-1.1450,1.17
5.759687,-0.0960,-0.0430,-1.1700,1.17
5.759815,-0.0350,0.0180,-1.0720,1.07
5.784439,-0.0260,0.1720,-0.9360,0.95
5.802644,-0.0190,0.6470,-0.5210,0.83
5.820266,-0.0910,0.9360,-0.1790,0.96
5.820443,-0.1300,0.9270,-0.0610,0.94
5.841009,-0.0980,0.8750,0.0520,0.88
5.841166,-0.0690,0.8550,0.2020,0.88
5.860896,-0.0300,0.7420,0.4130,0.85
5.861043,-0.0870,0.5860,0.5430,0.80
5.884513,-0.1120,0.2810,0.8000,0.86
5.904120,0.0150,-0.2370,1.3380,1.36
5.922338,0.2800,-0.5520,1.7320,1.84
5.922495,0.3790,-0.5990,1.8240,1.96
5.942634,0.3150,-0.5590,1.7220,1.84
5.942791,0.1920,-0.5390,1.4460,1.56
5.967231,0.0180,-0.4980,1.0130,1.13
5.985757,0.1200,-0.1910,-0.0020,0.23
6.004419,0.3130,0.1540,-0.5770,0.67
6.004587,0.3860,0.3260,-0.6340,0.81
6.024550,0.4120,0.4350,-0.5200,0.79
6.024714,0.2490,0.4020,-0.3380,0.58
6.044817,0.0770,0.3160,-0.0290,0.33
6.044987,0.0150,0.2560,0.2600,0.37
6.068995,0.0480,0.2720,0.4410,0.52
6.085967,-0.0970,0.4080,0.3280,0.53
6.105449,-0.3190,0.3210,0.1950,0.49
6.105656,-0.1880,0.2760,0.3270,0.47
6.126215,0.0300,0.1440,0.5410,0.56
6.126462,0.3340,-0.0040,0.7410,0.81
6.152192,0.5450,-0.1490,0.9180,1.08
6.169534,0.0240,-0.6540,0.8450,1.07
6.187689,-0.6460,-1.3790,0.3820,1.57
6.187851,-0.4630,-1.3410,0.1220,1.42
6.207988,-0.1440,-1.0840,-0.1390,1.10
6.208207,0.1770,-0.7080,-0.3160,0.80
6.237027,0.3140,-0.3730,-0.4920,0.69
6.255919,0.1170,0.0900,-0.9460,0.96
6.268934,-0.2220,0.2790,-1.2650,1.31
6.269104,-0.3880,0.2480,-1.2990,1.38
6.289348,-0.5180,0.2040,-1.2020,1.32
6.289560,-0.5560,0.1230,-1.0500,1.19
6.310033,-0.5330,-0.0010,-0.8260,0.98
6.310250,-0.4800,-0.1210,-0.7110,0.87
6.335110,-0.4120,-0.1750,-0.6450,0.79
6.335297,-0.3970,-0.2320,-0.6460,0.79
6.353367,-0.3730,-0.2660,-0.7260,0.86
6.353520,-0.3400,-0.3300,-0.8540,0.98
6.370848,-0.2360,-0.3150,-0.9730,1.05
6.371027,-0.1060,-0.2750,-1.0730,1.11
6.392218,0.0750,-0.1840,-1.0170,1.04
6.392450,0.3150,0.0340,-0.8790,0.93
6.420287,0.5270,0.3110,-0.7300,0.95
6.439195,0.7880,0.7750,-0.3080,1.15
6.452803,0.6200,0.8380,0.1430,1.05
6.453026,0.4840,0.7180,0.3690,0.94
6.474032,0.4050,0.5650,0.5560,0.89
6.474253,0.4060,0.4040,0.7070,0.91
6.500710,0.4300,0.3460,0.8990,1.05
6.519264,0.2450,0.3150,1.1760,1.24
6.534277,-0.0200,0.3360,1.2080,1.25
6.534418,-0.0620,0.4010,1.0970,1.17
6.555039,-0.0470,0.4260,0.9730,1.06
6.555235,0.0320,0.3710,0.8220,0.90
6.575689,0.1640,0.2970,0.6710,0.75
6.575874,0.4160,0.2870,0.5920,0.78
6.598487,0.5720,0.2530,0.5080,0.81
6.598591,0.5840,0.1010,0.4410,0.74
6.614838,0.5130,-0.0550,0.3220,0.61
6.614928,0.4410,-0.1910,0.2820,0.56
