# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.498930,0.1990,-0.2250,0.1320,0.33
1.519114,0.6630,-0.1090,-0.2230,0.71
1.519334,-0.0180,0.1050,-0.2860,0.31
1.545935,-0.3880,0.1190,0.0980,0.42
1.563475,0.2410,-0.0570,-0.1300,0.28
1.580405,-0.1870,-0.0270,0.0840,0.21
1.580576,-0.1310,-0.0170,0.0440,0.14
1.600558,0.1090,0.0220,-0.1020,0.15
1.600769,0.1260,0.0230,-0.0470,0.14
1.621119,-0.1380,-0.0130,0.1070,0.18
1.621277,-0.0530,-0.0300,-0.0070,0.06
1.645729,0.0850,0.0330,-0.0770,0.12
1.645965,0.0510,-0.0130,0.0340,0.06
1.662877,-0.0810,-0.0030,0.0480,0.09
1.663047,-0.0610,0.0260,-0.0450,0.08
1.681834,0.0600,-0.0050,-0.0250,0.07
1.682022,0.0320,-0.0180,0.0410,0.06
1.703182,-0.0600,0.0080,-0.0050,0.06
1.703430,-0.0110,0.0140,-0.0090,0.02
1.729204,0.0340,-0.0070,-0.0060,0.04
1.745999,-0.0390,0.0060,0.0090,0.04
1.763826,0.0140,-0.0040,0.0010,0.01
1.764000,0.0150,-0.0050,0.0180,0.02
1.783729,0.0000,0.0000,0.0140,0.01
1.783945,0.0080,-0.0100,-0.0050,0.01
1.811776,-0.0100,-0.0080,-0.0170,0.02
1.828316,-0.0290,0.0290,0.0030,0.04
1.844905,0.0120,-0.0090,-0.0070,0.02
1.845095,-0.0140,0.0240,-0.0020,0.03
1.864761,-0.0090,0.0160,-0.0010,0.02
1.864960,-0.0040,0.0000,0.0060,0.01
1.885499,0.0230,0.0050,0.0140,0.03
1.885705,-0.0020,0.0020,-0.0030,0.00
1.911667,-0.0030,0.0000,0.0040,0.00
1.911874,0.0060,0.0000,-0.0170,0.02
1.927946,0.0160,-0.0210,0.0120,0.03
1.928143,-0.0070,-0.0180,0.0020,0.02
1.946719,-0.0090,0.0000,0.0110,0.01
1.946912,0.0090,-0.0070,-0.0040,0.01
1.967608,0.0000,0.0050,0.0020,0.01
1.967878,0.0010,-0.0100,0.0170,0.02
1.989096,0.0000,0.0080,-0.0160,0.02
1.989289,-0.0130,0.0080,0.0130,0.02
2.007913,-0.0090,-0.0020,0.0030,0.01
2.008105,0.0060,0.0070,-0.0070,0.01
2.028098,-0.0080,0.0130,-0.0210,0.03
2.028229,0.0120,0.0070,0.0170,0.02
2.048627,0.0060,-0.0030,0.0000,0.01
2.048781,0.0080,0.0060,-0.0100,0.01
2.069008,0.0120,-0.0060,0.0180,0.02
2.069180,0.0080,-0.0030,0.0140,0.02
2.095071,0.0000,0.0140,-0.0220,0.03
2.109163,0.0050,-0.0080,0.0040,0.01
2.129621,-0.0190,0.0010,0.0100,0.02
2.129760,-0.0100,-0.0120,-0.0140,0.02
2.150908,-0.0020,0.0000,0.0010,0.00
2.151015,0.0070,0.0170,0.0010,0.02
2.171890,0.0020,0.0150,0.0010,0.02
2.171974,-0.0020,-0.0140,0.0200,0.02
2.193746,0.0150,-0.0150,-0.0040,0.02
2.193934,-0.0060,0.0050,0.0050,0.01
